eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes,naics_code,naics_label,naics_reason,title
20200041,FERC,NC,500,2025,web,https://pgjonline.com/news/2025/june/court-ruling-allows-mvp-s-500-million-southgate-pipeline-extension-to-proceed,MVP Southgate $500 Million Pipeline Extension,pgjonline.com,2025,NA,MVP's $500 Million Southgate Pipeline Extension.,high,FALSE,NA,MVP Southgate. 31 miles 30-inch pipeline VA-NC.,2211,Electric power generation/transmission/distribution,FERC default = electric power,Southgate Project
20200044,BLM,WY,4250,2020,web_imputed,https://www.blm.gov/press-release/bureau-land-management-issues-record-decision-moneta-divide-project,BLM Issues Record of Decision for Moneta Divide Project,blm.gov,2020-08,NA,"4,250 wells over 15 years; project generates $182M/yr federal royalties.",low,TRUE,Oil-gas-well-cost (~$1M/well <c3><97> 4250 wells),Aethon Energy + Burlington Resources. 18.16 Tcf gas + 254M bbl oil.,212,Mining (except oil & gas),BLM default <e2><86><92> mining,Moneta Divide Natural Gas and Oil Development Project
20200051,USAF,WI,105,2020,web,https://www.115fw.ang.af.mil/News/Article-Display/Article/3380773/wisconsin-air-national-guard-receives-f-35s/,Wisconsin Air National Guard receives F-35s,115fw.ang.af.mil,2023,NA,The Draft EIS estimates that construction required to support the F-35A beddown at Truax Field would cost between $90 and $120 million.,high,FALSE,NA,115th Fighter Wing Truax Field Madison. F-35As arrived April 2023.,481,Air transportation,air / aviation / airfield / aircraft beddown,United States Air Force F-35A Operational Beddown Air National Guard
20200056,USACE,CT,200,2020,sector_impute_pending,NA,NA,NA,NA,NA,New Haven Harbor 40 ft Plan. 4.5M cy dredged material. Cost not stated.,low,TRUE,Mid-size-port-deepening (~$200M),Construction expected fall 2026.,488,Support activities for water transportation,water transportation infrastructure,"New Haven Harbor Connecticut, Navigation Improvement Project, Final Integrated Feasibility Report and Environmental Impact Statement"
20200057,FHWA,NH,62,2020,web,https://www.i93exit4a.com/,Derry-Londonderry I-93 Exit 4A,i93exit4a.com,2020,NA,The total project cost is $61.6M.,high,FALSE,NA,New interchange + connector road. Construction in 3 phases.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"I-93 Exit 4A, Contact: Jamison S. Sikora 603-410-4870, Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Dated: February 25, 2020. Cindy S. Barger, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2020-04107 Filed 2-27-20; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20200062,USACE,CA,545,2020,web,https://www.valleywater.org/shoreline,South SF Bay Shoreline Phase I,valleywater.org,2020,NA,The total project cost is $545 million.,high,FALSE,NA,Coastal flood risk + ecosystem restoration + recreation.,2213,"Water, sewage, & other systems",USACE default <e2><86><92> water systems,"Final Integrated General Reevaluation Report and Environmental Impact Statement San Francisco Bay to Stockton, California, Navigation Study, Review Period Ends: 04/ 06/2020, Contact: Paul DeMarco 904-232-1897. Amended Notice"
20200065,TVA,TN,500,2020,sector_impute_pending,NA,NA,NA,NA,NA,Allen Fossil Plant Ash Closure-by-Removal. 3.5M cy CCR to offsite landfill. Cost not stated specifically.,low,TRUE,TVA-coal-ash-CCR-removal-typical (~$500M),Memphis riverfront site. Possible future inland port.,2211,Electric power generation/transmission/distribution,TVA = electric utility,Allen Fossil Plant Ash Impoundment Closure
20200066,FERC,AK,44000,2020,web,https://alaskabeacon.com/2025/12/22/alaskas-44-billion-bet-on-natural-gas/,Alaska's $44 billion bet on natural gas,alaskabeacon.com,2025,NA,The estimated cost for the Alaska LNG project is approximately USD 44 billion.,high,FALSE,NA,807-mile pipeline + Nikiski LNG export terminal. 20 MTPA LNG. FERC May 2020.,2211,Electric power generation/transmission/distribution,FERC default = electric power,Alaska LNG Project
20200071,UDOT,UT,78,2024,web,https://www.stgeorgeutah.com/news/officials-celebrate-new-i-15-interchange-in-washington-city-marking-end-of-78m-project/article_073580a8-bcf1-11ef-8f9a-337654e0c1b6.html,I-15 interchange Washington City $78M,stgeorgeutah.com,2024,NA,marking end of $78M project.,high,FALSE,NA,I-15 Milepost 11 St George area new interchange.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"I-15 Milepost 11 Interchange, Contact: Elisa Albury 801-834-5284. Pursuant to 23 U.S.C. 139(n)(2), UDOT has issued a single FEIS and ROD. Therefore, the 30-day wait/ review period under NEPA does not apply to this action. [[Page 17328]]"
20200072,DOE,AK,0,2020,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Alaska LNG EIS (20200066).,high,FALSE,NA,Duplicate. Counted under 20200066.,9281,National security,national security default,"ADOPTION--Alaska LNG Project, Contact: Brian Lavoie 202-586-2489. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
20200073,USACE,CT,100,2020,sector_impute_pending,NA,NA,NA,NA,NA,Westchester County Byram River Basin Flood Risk Management. Greenwich CT + Port Chester NY. US-1 bridge replacement.,low,TRUE,USACE-flood-feasibility-typical (~$100M),Removal/replacement of US-1 bridges at higher elevation.,2213,"Water, sewage, & other systems",USACE default <e2><86><92> water systems,"Westchester County Streams, Byram River Basin Flood Risk Management Feasibility Study--Final Integrated Feasibility Report & Environmental Impact Statement"
20200089,BLM,OR,30,2020,sector_impute_pending,NA,NA,NA,NA,NA,Tucker Hill Perlite Mine Plan of Operations Amendment 7. Cornerstone. 262 acres expansion. Small mineral mine.,low,TRUE,Small-perlite-mine-expansion (~$30M),"Lakeview District BLM. Preserves 30 jobs, 25-year life.",212,Mining (except oil & gas),mining / mineral extraction,"Tucker Hill Perlite Mine Expansion Project Plan of Operations Amendment No. 7, Review Period Ends: 05/26/ 2020, Contact: Paul Whitman 541-947-6110."
20200096,USACE,CA,200,2020,sector_impute_pending,NA,NA,NA,NA,NA,"Westminster-East Garden Grove Flood Risk Management. ~74 sq mi watershed, 700K residents benefit.",low,TRUE,USACE-urban-flood-typical (~$200M),Orange County. 50/50 cost share with OCFCD.,2213,"Water, sewage, & other systems",USACE default <e2><86><92> water systems,"Westminster, East Garden Grove, CA Flood Risk Management Study"
20200097,FTA,NJ,546,2020,web,https://www.masstransitmag.com/technology/miscellaneous/press-release/21084658/fta-grant-to-help-fund-nj-transitgrid-project,FTA grant to help fund NJ TRANSITGRID project,masstransitmag.com,2020,NA,$409.7 million plus $136.6 million from the New Jersey State Transportation Trust Fund for a total cost of $546.3 million.,high,FALSE,NA,104-140 MW natural gas microgrid + 19.6 miles transmission for NJ Transit + Amtrak.,485,Transit & ground passenger transportation,transit / light rail / bus terminal,"NJ Transitgrid Traction Power System, Contact: Donald Burns 212-668-2203. Under 23 U.S.C. 139(n)(2), FTA has issued a single document that consists of a final environmental impact statement and a record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Amended Notice:"
20200113,DOT,TX,30000,2020,web,https://en.wikipedia.org/wiki/Texas_Central_Railway,Texas Central Railway,wikipedia.org,2020,NA,"In 2020, project estimates were updated again to $30 billion.",medium,FALSE,NA,Dallas-Houston HSR. Texas Central Partners. Now believed $40B+; uses 2020 vintage figure.,482,Rail transportation,high-speed rail,Dallas to Houston High-Speed Rail
20200140,FERC,CA,50,2020,sector_impute_pending,NA,NA,NA,NA,NA,"Don Pedro (168 MW) + La Grange (4.7 MW) Hydroelectric relicensing. Existing facilities, license-only changes.",low,TRUE,Hydro-relicensing-upgrades (~$50M for both),Turlock + Modesto Irrigation Districts.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,Don Pedro Hydroelectric Project and La Grange Hydroelectric Project
20200143,USACE,IL,100,2020,sector_impute_pending,NA,NA,NA,NA,NA,Chicago Area Waterway System Dredged Material Management Plan. 20-year base plan. Cost not stated.,low,TRUE,USACE-DMMP-typical (~$100M),USACE ROD withdrawn 2025 after IL legislation block.,488,Support activities for water transportation,water transportation infrastructure,Chicago Area Waterway System Dredged Material Management Plan
20200149,BLM,WY,5000,2020,web_imputed,https://www.blm.gov/press-release/blm-wyoming-issues-decision-converse-county-oil-and-gas-project,BLM Wyoming Converse County Oil & Gas ROD,blm.gov,2020,NA,"5,000 new oil/gas wells over 10 years; $18-28B federal revenues over project life.",low,TRUE,Oil-gas-well-cost (~$1M/well <c3><97> 5000),Anadarko/Chesapeake/Devon/EOG/Northwoods. 1.5M acres. Vacated by court 2026.,211,Oil & gas extraction,oil & gas extraction,Converse County Oil and Gas Project
20200167,TVA,TN,899,2020,web,https://www.oversight.gov/reports/gallatin-ash-pond-complex-closure-and-restoration,Gallatin Ash Pond Complex Closure and Restoration,oversight.gov,2020,NA,total estimated project cost of approximately $899 million.,high,FALSE,NA,"14M cy CCR removal. State settlement: 20 years to complete, $640M.",2211,Electric power generation/transmission/distribution,TVA = electric utility,Gallatin Impoundment Closure
20200169,USAF,TX,150,2020,web_imputed,https://www.301fw.afrc.af.mil/News/Article-Display/Article/2466375/301-fw-selected-to-receive-f-35a/,301 FW Selected to Receive F-35A,301fw.afrc.af.mil,2020,NA,F-35A AFRC beddown at NAS JRB Fort Worth. Specific MILCON not surfaced. New 55K sf squadron ops + simulator.,low,TRUE,F-35A-AFRC-beddown-MILCON (~$150M),NA,481,Air transportation,air / aviation / airfield / aircraft beddown,F-35A Operational Beddown--Air Force Reserve Command
20200172,UDOT,UT,250,2020,sector_impute_pending,NA,NA,NA,NA,NA,Parley's Interchange I-80/I-215 Eastside. Major urban interchange redesign. Cost not surfaced.,low,TRUE,Urban-interchange-rebuild (~$250M),Alternative B selected. ROD 2020-08-11.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"Parley's Interchange; I-80/I-215 Eastside, Contact: Naomi Kisen 801-965-4000. Pursuant to 23 U.S.C. 139(n)(2), UDOT has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20200178,BLM,NV,700,2020,web_imputed,https://www.blm.gov/press-release/bureau-land-management-approves-yellow-pine-solar-project,BLM Approves Yellow Pine Solar Project,blm.gov,2020-11,NA,500 MW PV + BESS + 230 kV substation. ~$297M economic impact for local; full capex ~$700M.,low,TRUE,Solar+BESS (500 MW @ $1M/MW + storage),"NextEra Energy Resources. Pahrump, NV.",2211,Electric power generation/transmission/distribution,electricity generation / transmission,Yellow Pine Solar Project
20200180,FRA,DC,2300,2024,web,https://tam-america.com/article/virginia-breaks-ground-on-long-bridge-replacement-largest-trv-project,Virginia breaks ground on $2.3B Long Bridge Replacement,tam-america.com,2024,NA,$2.3 billion project to construct a new Long Bridge.,high,FALSE,NA,Potomac River rail bridge. Amtrak + VRE + CSX. Complete 2030.,482,Rail transportation,"rail (FRA, Amtrak, freight)","Long Bridge Project, Contact: David Valenstein 202-493-6368. Under 23 U.S.C. 139(n)(2), FRA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Dated: September 4, 2020. Candi Schaedle, Acting Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2020-20063 Filed 9-10-20; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20200183,BR,CA,500,2024,web,https://sjvwater.org/eight-years-ten-miles-and-325-million-later-first-phase-of-friant-kern-canal-fix-celebrated/,Friant-Kern Canal first phase $325M,sjvwater.org,2024,NA,$325 million construction project... estimated $500 million cost of the entire project has been surpassed.,medium,FALSE,NA,33 miles of repairs. Subsidence damage repair. Phase 1 complete 2024.,2213,"Water, sewage, & other systems",Bureau of Reclamation = water,Friant-Kern Canal Middle Reach Capacity Correction Project Final Environmental Impact Statement/ Environmental Impact Report
20200193,BR,CA,35,2024,web,https://www.usbr.gov/mp/lbao/truckee-canal.html,Truckee Canal Public Safety Improvement,usbr.gov,2024,NA,$35 million for Phase 1 of the Truckee Canal Public Safety Improvement Project.,high,FALSE,NA,"Newlands Project canal lining. 31 miles, post-2008 breach safety.",2213,"Water, sewage, & other systems",Bureau of Reclamation = water,Truckee Canal Extraordinary Maintenance
20200196,FTA,CA,500,2020,sector_impute_pending,NA,NA,NA,NA,NA,FTA CA FEIS/FEIR 2020 <e2><80><94> title truncated in source data. Likely transit project. Cost not extractable without full title.,low,TRUE,Mid-size CA transit project (~$500M),TODO: re-acquire full title from EIS document for proper cost research.,485,Transit & ground passenger transportation,transit / light rail / bus terminal,Final Environmental Impact Statement/ Final Environmental Impact Report (Vol 1) for the East San Fernando Valley Transit Corridor Project
20200197,TVA,IL,50,2025,sector_impute_pending,NA,NA,NA,NA,NA,Sugar Camp Energy Mine No. 1 Boundary Revision 6. TVA-owned mineral rights lease extension. Underground longwall mining.,low,TRUE,Mine-boundary-revision-low (~$50M),"Coal lease, not new mine capex. 253M tons over 25 years.",212,Mining (except oil & gas),mining / mineral extraction,"Sugar Camp Energy, LLC Mine Number 1 Boundary Revision 6"
20200202,GSA,AZ,308,2023,web,https://www.gsa.gov/about-us/newsroom/news-releases/bidenharris-administration-breaks-ground-on-308-06272023,Biden-Harris Administration breaks ground on $308 million port modernization,gsa.gov,2023-06-27,NA,$308 million port modernization and expansion project.,high,FALSE,NA,San Luis I LPOE. Expansion from 8 to 16 northbound POV lanes.,236,Construction of buildings,federal construction / military beddown,Expansion and Modernization of the San Luis I Land Port of Entry
20200204,BIA,OK,1000,2020,sector_impute_pending,NA,NA,NA,NA,NA,"Osage County Oil and Gas EIS. Programmatic management of 1,476,500-acre trust mineral estate.",low,TRUE,Programmatic-oil-gas-mineral-estate (~$1B),"BIA-managed for Osage Nation. Replaces 1979 EA. ROD Dec 15, 2020.",211,Oil & gas extraction,oil & gas extraction,Osage County Oil and Gas
20200207,BIA,CA,600,2020,web,https://www.tejoneis.com/,Tejon Indian Tribe Trust Acquisition and Casino Project,tejoneis.com,2020,NA,addresses impacts from the tribe's proposed $600 million gaming development.,high,FALSE,NA,"Tejon Tribe + Hard Rock International. 306-acre fee-to-trust, 400-room hotel + casino.",713210,Casinos (tribal gaming),casino / tribal gaming,Tejon Trust Acquisition and Casino Project
20200209,BIA,MI,180,2020,web,https://news.worldcasinodirectory.com/little-river-band-of-ottawa-indians-180-million-muskegon-county-casino-proposal-inches-forward-92809,Little River Band $180M Muskegon County casino,worldcasinodirectory.com,2020,NA,$180 million casino project in Fruitport Township.,high,FALSE,NA,Little River Band of Ottawa Indians. Off-reservation. Denied by Gov Whitmer 2025.,713210,Casinos (tribal gaming),casino / tribal gaming,"Little River Band of Ottawa Indians, Michigan Trust Acquisition and Casino Project, Review Period Ends: 11/ 30/2020, Contact: Scott Doig 612-725-4514."
20200213,FHWA,WI,1200,2023,web,https://urbanmilwaukee.com/pressrelease/gov-evers-wisdot-celebrate-progress-on-new-i-41-and-southbridge-road-interchange-in-brown-county/,South Bridge Connector cost $1.2B,urbanmilwaukee.com,2023,NA,The overall project will cost $1.2 billion.,high,FALSE,NA,New road + I-41 interchange + Fox River crossing. Brown County WI.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"South Bridge Connector, Brown County, Wisconsin, Tier I, Contact: Ian Chidister 608-829-7503. Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20200243,BR,ND,100,2024,web,https://www.cramer.senate.gov/news/press-releases/bureau-of-reclamation-announces-108-million-to-support-north-dakota-water-supply,Bureau of Reclamation $108M to Support North Dakota Water Supply,cramer.senate.gov,2024,NA,$100 million for construction of the Eastern North Dakota Alternate Water Supply project.,high,FALSE,NA,Phase 1 funding. Bulk water from McClusky Canal/Missouri River to eastern ND.,2213,"Water, sewage, & other systems",water supply / sewage / reservoir,Eastern North Dakota Alternate Water Supply Project
20200244,USAF,FL,5000,2024,web,https://www.enr.com/articles/57199-five-years-after-cat-5-hurricane-hit-florida-afbs-5b-rebuild-focuses-on-resilience,"Five Years After Cat-5 Hurricane Hit, Florida AFB's $5B Rebuild",enr.com,2024,NA,$5-billion rebuild of Florida's Tyndall Air Force Base.,high,FALSE,NA,Tyndall AFB F-35A + MQ-9 beddown. Post-Hurricane Michael full rebuild.,481,Air transportation,air / aviation / airfield / aircraft beddown,"F-35A Wing Beddown at Tyndall AFB and MQ-9 Wing Beddown at Tyndall AFB or Vandenberg AFB, Review [[Page 78324]] Period Ends: 01/04/2021, Contact: Nolan Swick 210-925-3392."
20200251,USCG,GU,0,2020,duplicate_of_other_eis,NA,NA,NA,NA,NA,USCG adoption of US Navy Mariana Islands Training and Testing EIS-OEIS.,high,FALSE,NA,Duplicate. Navy EIS would be primary; not in our 2020 set.,9281,National security,national security default,"ADOPTION--Mariana Islands Training and Testing Final EIS-OEIS, Contact: Maile Norman 808-535-3264. The United States Coast Guard (USCG) has adopted the United States Navy Final"
20200253,BR,CO,100,2020,sector_impute_pending,NA,NA,NA,NA,NA,Paradox Valley Unit (Colorado Salinity Control). Brine extraction infrastructure. Cost not surfaced.,low,TRUE,Salinity-control-infrastructure (~$100M),Dolores River brine extraction. Authorized 1974.,2213,"Water, sewage, & other systems",Bureau of Reclamation = water,Paradox Valley Unit of the Colorado River Basin Salinity Control Program
20200254,USFS,WY,50,2020,sector_impute_pending,NA,NA,NA,NA,NA,Snow King Mountain Resort On-Mountain Improvements. Largest capex in resort history. Sunnyside Lift + 8-passenger gondola + snowmaking + ski terrain expansion.,low,TRUE,Major-ski-resort-expansion (~$50M),100-acre USFS boundary expansion. Jackson WY.,713,"Amusement, gambling, recreation",USFS recreation / ski,Snow King Mountain Resort On- Mountain Improvements
20200011,USAF,CA,2000,2023,web,https://www.edwards.af.mil/News/Article/3289170/largest-private-public-collaboration-in-department-of-defense-history-reflects/,Largest Private-Public Collaboration in DoD History,edwards.af.mil,2023,NA,$2 billion Edwards Sanborn Solar + Energy Storage Project; 57% located on Edwards AFB. 807 MW + storage. 35-yr lease.,high,FALSE,NA,H-1 audit addition. Terra-Gen / Edwards AFB Enhanced Use Lease.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,Environmental Impact Statement/ Environmental Impact Report for the Edwards AFB Solar Project
20200148,USACE,AK,5000,2020,web_imputed,https://en.wikipedia.org/wiki/Pebble_Mine,Pebble Mine Wikipedia / project estimates,wikipedia.org,2020,NA,"Major copper-gold mine, would have been one of largest in N.A. EIS-completed before permit denied Nov 2020. Industry estimates $5-10B project capex. Use $5B (lower bound, conservative).",medium,TRUE,Major-copper-gold-mine-mid (~$5B),H-1 audit addition. Permit denied 2020 but EIS issued <e2><80><94> exposure attributable.,212,Mining (except oil & gas),mining / mineral extraction,Pebble Mine
20200158,BPA,OR,0,2020,reclassified_to_ii,NA,NA,NA,NA,NA,Columbia River System Operations <e2><80><94> basin-wide operational EIS (14 dams + reservoirs). No new construction; operational reset.,high,FALSE,NA,H-1 audit addition then RECLASSIFY: 'System Operations' is operational not capex. Added 'system operations' to combined_ops classifier exclusion.,999,Unclassified,no rule matched,"USACE, OR, Columbia River System Operations"
20200043,USACE,NY,1700,2020,web,https://www.governor.ny.gov/news/governor-hochul-announces-us-army-corps-construction-kick-major-flood-risk-management-project,Governor Hochul Announces US Army Corps Construction Kick-Off for Major Flood Risk Management Project on Long Island,Office of the Governor of NY,2024,NA,"Fire Island to Montauk Point (FIMP) project: $1.7 billion comprehensive coastal storm risk management for 83 miles of Long Island shoreline, 100% federally funded under Sandy supplemental (PL 113-2).",high,FALSE,NA,H-1 Round 2 audit addition. Major Long Island coastal program.,2213,"Water, sewage, & other systems",USACE default <e2><86><92> water systems,Fire Island Inlet to Montauk Point Reformulation Study
20200074,BLM,AK,672,2020,web,https://www.dermotcole.com/reportingfromalaska/2025/11/13/aidea-sticks-to-low-ball-ambler-road-estimate,AIDEA sticks to low-ball Ambler road estimate,Reporting From Alaska (Dermot Cole),2025,NA,Ambler Road preferred route: BLM 2024 decision document estimated cost $672 million; AIDEA's own estimate $350 million; third-party study puts state cost above $2 billion including financing.,high,FALSE,NA,H-1 Round 2 audit addition. Use BLM 2024 ROD cost estimate ($672M) as defensible mid-range.,212,Mining (except oil & gas),BLM default <e2><86><92> mining,Ambler Road Final Environmental Impact Statement
20200166,BLM,AK,7000,2020,web,https://www.worldoil.com/news/2025/11/6/conocophillips-lifts-willow-project-cost-to-9-billion-first-oil-set-for-early-2029/,"ConocoPhillips lifts Willow project cost to $9 billion, first oil set for early 2029",World Oil,2025,NA,ConocoPhillips Willow: initially estimated $7 billion to $7.5 billion; recently lifted to as much as $9 billion (inflation + construction costs added ~$700M to higher range). Use FEIS-era $7B estimate.,high,FALSE,NA,H-1 Round 2 audit addition. Use FEIS-era $7B estimate for the 2020 panel-year; current estimate is $9B.,211,Oil & gas extraction,oil & gas extraction,Willow Master Development Plan Final Environmental Impact [[Page 49650]] Statement
