panel_year,eis_number,lead_agency,naics_code,cost_m_usd_nominal,funding_source,funding_source_basis,title
2015,20150015,BPA,2211,10,gov_federal,agency default (BPA),Hooper Springs Transmission Project
2015,20150083,USFS,212,75,private,agency default (USFS),Resurrection Creek Phase II: Stream and Riparian Restoration Project and Hope Mining Company Proposed Mining Plan of Operations
2015,20150086,USN,9281,1000,gov_federal,agency default (USN),Naval Base Coronado Coastal Campus
2015,20150119,OSM,2211,300,private,title hint: private extractive/energy,Four Corners Power Plant and Navajo Mine Energy Project
2015,20150137,USACE,2213,190,gov_federal,agency default (USACE),Southport Sacramento River Early Implementation Project
2016,20160001,FHWA,237310,1300,gov_state_local,agency default (FHWA),I-70 East Project
2016,20160010,FHWA,237310,80,gov_state_local,agency default (FHWA),"1800 North (SR-37) Project, Contact: Paul Ziman 801-955-3525 Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Amended Notices"
2016,20160012,FHWA,237310,1500,gov_state_local,agency default (FHWA),Baton Rouge Loop Tier 1
2016,20160016,FHWA,237310,400,gov_state_local,agency default (FHWA),"SH 249 Extension, Contact: Carlos Swonke 512-416-2734, Under MAP-21 Section 1319 FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2016,20160028,FHWA,237310,1200,gov_state_local,agency default (FHWA),I-94 East-West Corridor (70th St-- 16th St) Project
2016,20160029,BPA,237310,400,gov_state_local,title hint: highway (state DOT pays),I-5 Corridor Reinforcement Project
2016,20160041,FTA,485,2400,gov_state_local,agency default (FTA),"Durham-Orange Light Rail, Contact: Stanley A. Mitchell 404-865-5600, Under MAP 21 section 1319, FTA has issued a Final EIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2016,20160045,TVA,2211,0,gov_federal,agency default (TVA),Floating Houses Policy Review
2016,20160048,USAF,481,550,gov_federal,agency default (USAF),United States Air Force F-35A Operational Beddown-Pacific
2016,20160049,DOE,9281,0,private,agency default (DOE),Disposal of Greater-than-Class-C (GTCC) Low-Level Radioactive Waste and GTCC-Like Waste
2016,20160066,BOP,236,510,gov_federal,agency default (BOP),U.S. Penitentiary and Federal Prison Camp Letcher County
2016,20160076,BLM,212,2200,private,agency default (BLM),Continental Divide Creston Natural Gas Development Project
2016,20160091,FERC,2211,60,private,agency default (FERC),Bear River Narrows Hydroelectric Project
2016,20160099,USFS,212,30,private,agency default (USFS),"Granite Creek Watershed Mining Project, review period ends: 06/13/2016, Contact: Sophia Millar 541- 263-1735."
2016,20160100,FTA,485,2750,gov_state_local,agency default (FTA),"Southwest Light Rail Transit, review period ends: 06/13/2016, Contact: Maya Sarna 202-366-5811."
2016,20160104,BLM,2211,3000,private,agency default (BLM),"Energy Gateway South Transmission Project, review period ends: 06/13/2016, Contact: Tamara Gertsch 307- 775-6115. Final Supplement, NRC, NV, Supplement to the U.S. Department of Energy's Environmental Impact Statement for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-Level Radioactive Waste at Yucca Mountain, Nye County, Nevada--Final Report, NUREG-2184, Contact: Christine Pineda 301-415-6789. Prepared in accordance with NWPA [[Page 29856]] Sec. 114 and 10 CFR 51.109, which describes the NRC's NEPA process for its review of the proposed geologic repository at Yucca Mountain, Nevada. Amended Notices"
2016,20160105,BLM,212,100,private,agency default (BLM),"Coeur Rochester Mine Plan of Operations Amendment 10 and Closure Plan, Review Period Ends: 06/20/ 2016, Contact: Kathleen Rehberg 775-623-1500."
2016,20160114,FHWA,237310,300,gov_state_local,agency default (FHWA),Grand Parkway (State Highway 99) Segment B
2016,20160124,FERC,2211,200,private,agency default (FERC),Sweetheart Lake Hydroelectric Project
2016,20160125,BIA,2211,300,private,override: Aiya Solar Moapa <e2><80><94> utility-scale PV by private developer,Aiya Solar Project
2016,20160128,USACE,488,50,mixed,USACE civil works (mixed with sponsor share),Morehead City Harbor Integrated Dredged Material Management Plan
2016,20160133,FTA,485,370,gov_state_local,agency default (FTA),Potomac Yard Metrorail Station
2016,20160136,USACE,2213,2700,gov_federal,agency default (USACE),Upper Ohio Navigation Study
2016,20160139,BLM,211,500,private,agency default (BLM),Monument Butte Area Oil and Gas Development Project
2016,20160142,BLM,212,200,private,agency default (BLM),Bald Mountain Mine North and South Operations Area Project
2016,20160147,USFS,2211,35,private,agency default (USFS),Kake to Petersburg Transmission Line Intertie Project
2016,20160149,BIA,713210,50,tribal,agency default (BIA),Seminole Tribe of Florida Fee to Trust
2016,20160155,FTA,485,1500,gov_state_local,agency default (FTA),Bottineau Light Rail Transit Metro Blue Line Extension
2016,20160160,BR,2213,200,gov_state_local,title hint: highway (state DOT pays),Mendota Pool Bypass and Reach 2B Improvements Project
2016,20160163,DOE,9281,0,private,agency default (DOE),"ADOPTION--Lake Charles Liquefaction Project, Contact: John Anderson 202-586-0521 The U.S. Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final EIS #20150233 filed 08/14/2015 with EPA. DOE was a cooperating agency, therefore recirculation of the document is not necessary under Section 1506.3(b) of the CEQ Regulations. Amended Notices"
2016,20160170,BIA,713210,80,tribal,agency default (BIA),The Pokagon Band of Potawatomi Indians Fee-to-Trust Transfer for Tribal Village and Casino
2016,20160178,BLM,211,0,private,agency default (BLM),Previously Issued Oil and Gas Leases in the White River National Forest
2016,20160180,FERC,2211,10000,private,agency default (FERC),Golden Pass LNG Export Project
2016,20160181,FERC,486,4200,private,agency default (FERC),"Rover Pipeline, Panhandle Backhaul, and Trunkline Backhaul Projects"
2016,20160183,USFS,713,20,private,agency default (USFS),Arapahoe Basin Ski Area Projects
2016,20160194,FAA,481,40,gov_state_local,agency default (FAA),Angoon Airport Project
2016,20160203,FERC,486,1600,private,agency default (FERC),Leach XPress and Rayne XPress Expansion Projects
2016,20160216,HUD,236,700,mixed,agency default (HUD),Lambert Houses Redevelopment
2016,20160223,DOE,9281,0,private,agency default (DOE),"Adoption--Magnolia LNG and Lake Charles Expansion Projects, Contact: [[Page 67349]] John Anderson 202-586-0521. The U.S Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's FEIS #20150325, filed with the U.S. EPA on 11/13/2015. DOE was a cooperating agency on the project. Therefore, recirculation of the document is not necessary under Section 1506.3(c) of the CEQ Regulations"
2016,20160225,BR,2213,0,gov_federal,agency default (BR),"Continued Implementation of the 2008 Operating Agreement for the Rio Grande Project, Review Period Ends: 11/ 07/2016, Contact: Hector Garcia 505-462-3550"
2016,20160229,DOE,2211,1650,private,agency default (DOE),Recapitalization of Infrastructure Supporting Naval Spent Nuclear Fuel Handling at the Idaho National Laboratory
2016,20160236,FAA,9281,0,gov_federal,title hint: military,"ADOPTION--Military Readiness Activities at Naval Weapons System Training Facility Boardman, Contact: Paula Miller 202-267-7378. The U.S. Department of Transportation's Federal Aviation Administration (FAA) has adopted the U.S. Navy's FEIS # 20150355, filed with the USEPA 12/28/2015. FAA was a cooperating agency on the project. Recirculation of the document is not necessary under Section 1506.3 of the CEQ Regulations. Dated: October 11, 2016. Karin Leff, Acting Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2016-24902 Filed 10-13-16; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2016,20160241,BLM,2211,50,private,agency default (BLM),Vantage to Pomona Heights 230kV Transmission Line Project
2016,20160245,BR,2213,58,gov_federal,agency default (BR),"Lower Yellowstone Intake Diversion Dam Fish Passage Project, Montana"
2016,20160270,FTA,485,3100,gov_state_local,agency default (FTA),Federal Way Link Extension
2016,20160273,FHWA,237310,80,gov_state_local,agency default (FHWA),"SR 87 Connector, Contact: Joseph Sullivan 850-553-2248. Under 49 U.S.C. 304a(b), FHWA has issued a Final EIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2016,20160276,FRA,482,6000,gov_state_local,agency default (FRA),Baltimore and Potomac Tunnel
2016,20160277,USCG,211,1000,private,override: Delfin LNG Deepwater Port <e2><80><94> Delfin Midstream private,Port Delfin Project Deepwater Port Application
2016,20160279,BOEM,211,0,private,agency default (BOEM),Outer Continental Shelf Oil and Gas Leasing Program: 2017-2022
2016,20160289,FERC,2211,2600,private,agency default (FERC),"Nexus Gas Transmission Project and Texas Eastern Appalachian Lease Project, review period ends: 01/09/ 2017, Contact: Joanne Wachholder 202-502-8056."
2016,20160293,NPS,485,0,gov_state_local,title hint: transit (state/local pays),"ADOPTION--Potomac Yard Metrorail Station, Contact: Dan Koenig 202-219-3528. The U.S. Department of the Interior's National Park Service has adopted the U.S. Department of Transportation's Federal Transit Authority's FEIS #20160133, file 07/11/2016 with the EPA. NPS was a cooperating agency for the above project. Therefore, recirculation of the document is not necessary under Section 1056.3(c) of the Council on Environmental Quality. Amended Notices"
2016,20160300,BIA,713210,500,tribal,agency default (BIA),Wilton Rancheria Fee-to-Trust and Casino Project
2016,20160308,USFS,211,0,private,agency default (USFS),Oil and Gas Leasing in Portions of the Wyoming Range in the Bridger-Teton National Forest
2016,20160309,BOEM,211,0,private,agency default (BOEM),Cook Inlet Planning Area Oil and Gas Lease Sale 244
2016,20160318,BR,2213,17000,gov_state_local,"override: CA WaterFix (twin tunnels) <e2><80><94> DWR state-led, cancelled",Bay Delta Conservation Plan/California WaterFix
2016,20160065,WAPA,2211,324,mixed,agency default (WAPA),San Luis Transmission Project
2016,20160083,USACE,212,200,private,title hint: private extractive/energy,Surface Coal and Lignite Mining
2016,20160157,USN,9281,500,gov_federal,agency default (USN),Land-Water Interface and Service Pier Extension at Naval Base Kitsap Bangor
2016,20160233,USMC,999,400,gov_federal,agency default (USMC),Santa Margarita River Conjunctive Use Project
2016,20160189,BLM,212,122,private,agency default (BLM),Sheep Mountain Uranium Project
2016,20160207,USACE,2213,615,gov_federal,agency default (USACE),South Shore of Staten Island Coastal Storm Risk Management
2017,20160322,FRA,482,0,gov_state_local,agency default (FRA),Arizona Passenger Rail Corridor: Tucson to Phoenix
2017,20160326,FERC,2211,3000,private,agency default (FERC),Atlantic Sunrise Project
2017,20170010,USFS,713,15,private,agency default (USFS),Lookout Pass Ski Area Expansion EIS
2017,20170012,TVA,2211,100,gov_federal,agency default (TVA),Bull Run Fossil Plant Landfill
2017,20170013,NPS,9241,50,mixed,override: Alcatraz Ferry <e2><80><94> Hornblower concession + NPS site,Alcatraz Ferry Embarkation
2017,20170017,BR,2213,0,gov_federal,agency default (BR),Long-Term Plan to Protect Adult Salmon in the Lower Klamath River
2017,20170018,DOE,9281,0,private,agency default (DOE),"Adoption--Golden Pass LNG Export Project, Review Period, Contact: Kyle Moorman 202-586-7970 The U.S. Department of Energy (DOE) has adopted the Federal Regulatory Commission's F"
2017,20170044,USFS,713,50,private,agency default (USFS),Snowmass Multi-Season Recreation Projects
2017,20170053,USAF,481,200,gov_federal,agency default (USAF),KC-46A Third Main Operating Base Beddown
2017,20170055,FERC,486,1200,private,agency default (FERC),PennEast Pipeline Project
2017,20170059,USACE,2213,200,gov_federal,override: Mamaroneck flood <e2><80><94> primarily federal,Mamaroneck and Sheldrake Rivers Flood Risk Management Project
2017,20130360,USFS,212,1900,private,agency default (USFS),"Rosemont Copper Project, Proposed Construction, Operation with Concurrent Reclamation and Closure of an Open-Pit Copper Mine"
2017,20170085,NRC,2211,115,private,override: NWMI medical isotopes <e2><80><94> private,Construction Permit for the Northwest Medical Isotopes Radioisotope Production Facility
2017,20170088,USACE,2213,345,mixed,override: Ala Wai <e2><80><94> fed + state of Hawaii,"Ala Wai Canal Project, Flood Risk Management"
2017,20170096,USACE,488,570,mixed,override: Port of Gulfport <e2><80><94> MS State Port Authority,Port of Gulfport Expansion Project
2017,20170098,HUD,485,0,mixed,agency default (HUD),"Adoption--Transbay Terminal/Caltrain Downtown Extension/Redevelopment Project, Review Period Ends: 07/19/ 2017, Contact: Stanley W. Toal 415-489-6668. The Housing and Urban Development/the City and County of San Francisco Mayor's Office of Housing and Community Development (MOHCD, has adopted the Federal Transit Administration's FEIS #20040148, filed 03/26/2004 with the EPA. HUD/MOHCD was not a cooperating agency for the FEIS. Therefore, recirculation of the document is necessary under Section 1506.3(b) of the CEQ Regulations."
2017,20170113,FERC,486,7850,private,agency default (FERC),Mountain Valley Project and Equitrans Expansion Project
2017,20170115,USFS,113,0,private,agency default (USFS),"ADOPTION--Mountain Valley Project and Equitrans Expansion Project, Contact: Karen Overcash 540-265-5175. The U.S. Department of Agriculture's Forest Service (USFS) has adopted the Federal Energy Regulatory Commission's FEIS #20170113, filed with EPA 06/22/2017. The USFS was a cooperating agency for this project. Therefore, re-circulation of the document is not necessary under Section 1506.3(c) of the CEQ Regulations."
2017,20170130,FHWA,237310,750,gov_state_local,agency default (FHWA),West Davis Corridor
2017,20170134,FHWA,237310,2700,gov_state_local,agency default (FHWA),"Interstate 290 Eisenhower Expressway, Contact: Catherine A. Batey 217-492-4600, Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30- day wait/review period under NEPA does not apply to this action."
2017,20170138,FERC,486,8000,private,agency default (FERC),Atlantic Coast Pipeline and Supply Header Project
2017,20170139,FHWA,237310,200,gov_state_local,agency default (FHWA),"US 30 from IL 136 to IL 40 Whiteside Co., Contact: Catherine A. Batey 217-492-4600, Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2017,20170143,FHWA,237310,80,gov_state_local,agency default (FHWA),"I-80 and State Street Interchange, Contact: Brandon Weston, 801-965-4603. Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2017,20170148,FERC,2211,3200,private,agency default (FERC),Mountaineer Xpress and Gulf XPress Projects
2017,20170149,BOEM,999,0,private,agency default (BOEM),Geological and Geophysical Activities on the Gulf of Mexico Outer Continental Shelf
2017,20170158,DOE,2211,1600,private,override: Northern Pass <e2><80><94> Eversource (cancelled),Northern Pass Transmission Line Project
2017,20170184,FRA,482,0,gov_state_local,agency default (FRA),Atlanta-Chattanooga High Speed Ground Transportation Project
2017,20170194,BLM,212,80,private,agency default (BLM),Gold Bar Mine Project
2017,20170197,FAA,481,0,gov_federal,title hint: military,"ADOPTION--Proposed Establishment and Modification of Oregon Military Training Airspace, Contact: Paula Miller 202-267-7378 Dated: October 2, 2017. Kelly Knight, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2017-21548 Filed 10-5-17; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2017,20170198,USAF,481,375,gov_federal,agency default (USAF),"Presidential Aircraft Recapitalization Program, Joint Base Andrews-Naval Air Facility"
2017,20170199,FAA,481,0,gov_state_local,agency default (FAA),"Adoption--Pinon Canyon Maneuver Site Training and Operations, Contact: Paula Miller (202) 267-7378"
2017,20170203,USACE,488,0,mixed,USACE civil works (mixed with sponsor share),Kansas River Commercial Dredging
2017,20170213,FHWA,237310,400,gov_state_local,agency default (FHWA),"US 113 North/South Study Millsboro- South Area, Contact: Ryan O'Donoghue (302) 734-2745"
2017,20170215,FRA,482,0,gov_state_local,agency default (FRA),Texas-Oklahoma Passenger Rail Study Service-Level FEIS/ROD
2017,20170217,USACE,2213,1600,mixed,override: Bois d'Arc <e2><80><94> NTMWD non-federal sponsor majority,Lower Bois d'Arc Creek Reservoir Fannin County Texas
2017,20170228,FHWA,237310,110,gov_state_local,agency default (FHWA),New York State Route 198 (Scajaquada Expressway) Corridor Project
2017,20170237,TVA,212,200,gov_federal,agency default (TVA),Shawnee Fossil Plant Coal Combustion Residual Management
2017,20170241,BLM,212,0,private,agency default (BLM),"ADOPTION--Mountain Valley Project and Equitrans Expansion Project, Review Period, Contact: Victoria Craft (601) 919-4655."
2017,20170247,FHWA,237310,2200,gov_state_local,agency default (FHWA),Complete 540--Triangle Expressway Southeast Extension
2017,20170046,NSA,999,4600,gov_federal,agency default (NSA),East Campus Integration Program
2017,20170099,NIGC,713210,0,tribal,agency default (NIGC),"Adoption--Cowlitz Indian Tribe Trust Acquisition and Casino Project Take 151.87 Acres into Federal Trust and Issuing of Reservation Proclamation and Approving the Gaming Development and Management Contract, Contact: Esther Dittler 202-632- 7003. The National Indian Gaming Commission has adopted the U.S. Department of the Interior's Bureau of Indian Affairs FEIS #20080212, filed with EPA on 05/22/2008. NIGC was a cooperating agency with the project. Therefore, recirculation of the document is not necessary under Section 1506.3 of the CEQ Regulations."
2017,20170110,USN,9281,50,gov_federal,agency default (USN),Disposal and Reuse of Surplus Property at Naval Station Newport
2017,20170230,BPA,999,30,gov_federal,agency default (BPA),"Melvin R. Sampson Hatchery, Yakima Basin Coho Project"
2017,20170234,USMC,236,100,gov_federal,agency default (USMC),"Multiple Projects in Support of Marine Barracks Washington, DC"
2017,20170101,HUD,236,480,mixed,agency default (HUD),"Rebuild by Design Hudson River: Resist, Delay, Store, Discharge Project, Review Period Ends: 07/17/ 2017, Contact: Dennis Reinknecht 609-984-0556. The New Jersey Departments of Environmental Protection and Community Affairs is the lead agency for the above project."
2017,20170182,USACE,2211,0,gov_federal,agency default (USACE),"ADOPTION--Plains and Eastern Clean Line Transmission Line Project, Review Period, Contact: David Gade 918- 669-7579. The U.S. Army Corps of Engineers--Tulsa District, District Commander Christopher A. Hussin, adopts the Department of Energy's Final Environmental Impact Statement for the Plains & Eastern Clean Line Transmission Line Project (Final EIS #182396 [DOE/EIS/0486]) filed with the USEPA on 11/13/2015. As the USACE was a cooperating agency, recirculation of the document (EIS) is not necessary under 40 CFR 1506.3(c)."
2018,20180002,FHWA,237310,237,gov_state_local,agency default (FHWA),"I-70 Second Tier Combined Final Environmental Impact Statement and Record of Decision, Pursuant to 23 U.S.C. 139(N), The 30-day wait/review period does not apply to this FEIS, Contact: Kevin W. Ward 573-638-2600."
2018,20180004,BR,2213,280,mixed,BR water infra (mixed with sponsor share),Pojoaque Basin Regional Water System EIS
2018,20180009,FHWA,237310,0,gov_state_local,agency default (FHWA),"U.S. 50 Corridor East Tier 1 Final Environmental Impact Statement and Record of Decision. Under MAP-21, Section 1319, FHW has issued a single FEIS and ROD. Therefore, the 30- day wait/review period does not apply to this action, Contact: Melinda Urban 720-963-3073."
2018,20180016,FHWA,237310,1500,gov_state_local,agency default (FHWA),"I69 Section 6 Martinsville to Indianapolis, Under MAP-21 section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Contact: Michelle Allen 317-226-7344. Dated: February 6, 2018. Kelly Knight, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2018-02580 Filed 2-8-18; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2018,20180026,USFS,2211,100,private,agency default (USFS),Big Creek Geothermal Leasing Project
